 station cast   lat    long    jday   mo/da/yr   gmt
 121      1   24.404 -80.616   290    10/17/21  1824 
 
    File created by Jay Hooper - 13-Dec-2021   
            GOMECC4 Cruise Sep 2021 
             NOAA Ship Ronald H Brown
                  
 
     Primary (T,S,O) sensors - Calibrated CTD data   

   pr       te       th       sa       ht       ga       ox
dbars    deg c    deg c      psu  dyn. cm    gamma  umol/kg
  240   17.454   17.414   36.369    0.779    238.328   149.656
  241   17.394   17.353   36.360    0.781    239.320   149.523
  242   17.330   17.289   36.351    0.782    240.313   149.492
  243   17.313   17.272   36.349    0.784    241.305   149.504
  244   17.309   17.267   36.348    0.785    242.298   149.638
  245   17.298   17.257   36.346    0.787    243.290   149.679
  246   17.231   17.189   36.336    0.789    244.283   149.604
  247   17.161   17.119   36.325    0.790    245.275   149.293
  248   17.141   17.099   36.321    0.792    246.267   148.965
  249   17.125   17.084   36.318    0.794    247.260   148.718
  250   17.098   17.056   36.313    0.795    248.252   148.629
  251   17.007   16.965   36.298    0.797    249.245   148.384
  252   16.971   16.929   36.292    0.798    250.237   147.629
  253   16.941   16.899   36.287    0.800    251.230   146.990
  254   16.881   16.838   36.276    0.802    252.222   146.681
  255   16.800   16.758   36.264    0.803    253.214   146.139
  256   16.775   16.732   36.259    0.805    254.207   144.968
  257   16.712   16.670   36.249    0.806    255.199   143.869
  258   16.664   16.621   36.241    0.808    256.191   142.928
  259   16.631   16.588   36.236    0.809    257.184   142.284
  260   16.587   16.545   36.227    0.811    258.176   141.884
  261   16.534   16.492   36.218    0.812    259.169   141.284
  262   16.501   16.458   36.212    0.814    260.161   140.307
  263   16.490   16.447   36.210    0.816    261.153   139.304
  264   16.458   16.415   36.203    0.817    262.146   138.662
  265   16.436   16.393   36.199    0.819    263.138   138.060
  266   16.411   16.368   36.195    0.820    264.130   137.300
  267   16.397   16.354   36.192    0.822    265.123   136.548
  268   16.371   16.327   36.188    0.823    266.115   136.179
  269   16.338   16.295   36.182    0.825    267.107   136.033
  270   16.257   16.214   36.169    0.826    268.100   135.874
  271   16.212   16.168   36.162    0.828    269.092   135.575
  272   16.194   16.150   36.159    0.829    270.084   135.299
  273   16.159   16.115   36.153    0.831    271.076   135.127
  274   16.145   16.101   36.151    0.832    272.069   134.814
  275   16.137   16.093   36.149    0.834    273.061   134.546
  276   16.127   16.083   36.148    0.835    274.053   134.510
  277   16.116   16.071   36.146    0.837    275.046   134.462
  278   16.105   16.060   36.145    0.838    276.038   134.433
  279   16.095   16.050   36.143    0.840    277.030   134.349
  280   16.084   16.039   36.141    0.841    278.022   134.295
  281   16.079   16.034   36.140    0.843    279.015   134.279
  282   16.062   16.016   36.138    0.844    280.007   134.281
  283   16.041   15.996   36.134    0.846    280.999   134.280
  284   16.022   15.976   36.132    0.847    281.991   134.291
  285   16.010   15.964   36.130    0.849    282.984   134.360
  286   16.003   15.957   36.129    0.850    283.976   134.480
  287   15.971   15.925   36.124    0.852    284.968   134.614
  288   15.952   15.906   36.121    0.853    285.960   134.682
  289   15.911   15.865   36.115    0.855    286.953   134.804
  290   15.896   15.850   36.112    0.856    287.945   134.600
  291   15.873   15.826   36.108    0.858    288.937   134.354
  292   15.834   15.787   36.101    0.859    289.929   134.166
  293   15.766   15.720   36.090    0.861    290.922   133.987
  294   15.689   15.642   36.077    0.862    291.914   133.611
  295   15.607   15.561   36.064    0.864    292.906   132.972
  296   15.563   15.516   36.057    0.865    293.898   132.190
  297   15.491   15.444   36.045    0.867    294.890   131.720
  298   15.440   15.393   36.037    0.868    295.882   131.392
  299   15.399   15.352   36.030    0.870    296.875   131.100
  300   15.372   15.325   36.026    0.871    297.867   130.884
  301   15.360   15.313   36.025    0.873    298.859   130.710
  302   15.335   15.288   36.021    0.874    299.851   130.585
  303   15.319   15.272   36.018    0.875    300.843   130.409
  304   15.300   15.253   36.015    0.877    301.835   130.428
  305   15.243   15.196   36.006    0.878    302.828   130.484
  306   15.192   15.144   35.998    0.880    303.820   130.428
  307   15.170   15.122   35.994    0.881    304.812   130.399
  308   15.090   15.042   35.982    0.883    305.804   130.471
  309   15.048   15.001   35.975    0.884    306.796   130.603
  310   15.019   14.971   35.970    0.885    307.788   130.866
  311   15.002   14.955   35.967    0.887    308.780   131.055
  312   14.973   14.925   35.963    0.888    309.773   131.106
  313   14.934   14.886   35.957    0.890    310.765   131.076
  314   14.886   14.839   35.950    0.891    311.757   131.073
  315   14.844   14.796   35.943    0.892    312.749   130.998
  316   14.815   14.767   35.938    0.894    313.741   130.898
  317   14.792   14.744   35.934    0.895    314.733   130.819
  318   14.665   14.617   35.913    0.897    315.725   130.823
  319   14.598   14.550   35.902    0.898    316.717   130.307
  320   14.505   14.457   35.888    0.899    317.709   129.694
  321   14.430   14.382   35.875    0.901    318.701   129.097
  322   14.341   14.293   35.861    0.902    319.693   128.744
